cruise,haulno,transect.id,physicaldatafilename,haul,area,tow,region,,,,,,,,,
OSTRICH 2015,ISIIS-123,OST15-7E-M,ISIIS201506191349.txt,123,7,m,e,,,,,,,,,
OSTRICH 2015,ISIIS-124,OST15-8W-Und,ISIIS201506200653.txt,124,8,und,w,,,,,,,,,
OSTRICH 2015,ISIIS-125,OST15-8W-M,ISIIS201506200825.txt,125,8,m,w,,,,,,,,,
OSTRICH 2015,ISIIS-126,OST15-8W-S,ISIIS201506201344.txt,126,8,s,w,,,,,,,,,
OSTRICH 2015,ISIIS-127,OST15-9W-Und,ISIIS201506210714.txt,127,9,und,w,,,,,,,,,
OSTRICH 2015,ISIIS-128,OST15-9W-M,ISIIS201506210834.txt,128,9,m,w,,,,,,,,,
OSTRICH 2015,ISIIS-129,OST15-9W-S,ISIIS201506211312.txt,129,9,s,w,,,,,,,,,
OSTRICH 2015,ISIIS-130,OST15-10W-Und,ISIIS201506220658.txt,130,10,und,w,,,,,,,,,
OSTRICH 2015,ISIIS-131,OST15-10W-M,ISIIS201506220824.txt,131,10,m,w,,,,,,,,,
OSTRICH 2015,ISIIS-131,OST15-10W-M,ISIIS201506220931.txt,131,10,m,w,,,,,,,,,
OSTRICH 2015,ISIIS-132,OST15-10W-S,ISIIS201506221321.txt,132,10,s,w,,,,,,,,,
OSTRICH 2015,ISIIS-133,OST15-7W-Und,ISIIS201506240654.txt,133,7,und,w,,,,,,,,,
OSTRICH 2015,ISIIS-133,OST15-7W-Und ,ISIIS201506240759.txt,133,7,und,w,,,,,,,,,
OSTRICH 2015,ISIIS-134,OST15-7W-S,ISIIS201506240816.txt,134,7,s,w,,,,,,,,,
OSTRICH 2015,ISIIS-135,OST15-7W-M,ISIIS201506241324.txt,135,7,m,w,,,,,,,,,
OSTRICH 2015,ISIIS-136,OST15-7C-Und,ISIIS201506250701.txt,136,7,und,c,,,,,,,,,
OSTRICH 2015,ISIIS-137,OST15-7C-M,ISIIS201506250826.txt,137,7,m,c,,,,,,,,,
OSTRICH 2015,ISIIS-138,OST15-7C-S,ISIIS201506251322.txt,138,7,s,c,,,,,,,,,
OSTRICH 2015,ISIIS-139,OST15-6C-Und,ISIIS201506260824.txt,139,6,und,c,,,,,,,,,
OSTRICH 2015,ISIIS-140,OST15-6C-S,ISIIS201506261004.txt,140,6,s,c,,,,,,,,,
OSTRICH 2015,ISIIS-141,OST15-6W-M,ISIIS201506261551.txt,141,6,m,w,,,,,,,,,
